instance,type,basic_form,level,frequency
1,noun,Mann,A1,5578
1,adjective,schnell,A1,2035
1,adverb,schnell,A2,134
1,verb,waschen,A1,1213
1,noun,Teil,A1,1144
2,noun,Teil,A1,103
1,noun,Portugiese,A2,1372
1,noun,Grieche,A2,1845
1,noun,Chinese,A2,2593
1,noun,Bulgare,B1,5835
1,noun,Franzose,A1,589
1,noun,Finne,B2,8635
1,article,der,A1,5
1,article,ein,A1,3
1,pronoun,er,A1,10
1,pronoun,sie,A1,12
1,pronoun,es,A1,18
1,verb,warten,A1,347
1,verb,haben,A1,684
1,verb,wollen,A1,1021
1,verb,essen,A1,1358
1,verb,dürfen,A1,1695
1,verb,geben,A1,2032
1,verb,aufstehen,A2,2369
1,verb,können,A1,2706
1,adjective,nett,A1,542
1,adjective,jung,A1,1622
1,adjective,klein,A1,3786
1,adjective,schnell,A1,356
2,adverb,schnell,A1,1684
1,adverb,heute,A1,3012
1,adverb,hier,A1,95
1,numeral,drei,A1,2822
1,numeral,dritt,A1,5739
1,connector,weil,B1,3789
1,connector,wenn,B1,2825
1,connector,und,A1,13
1,preposition,ab,B1,58
1,preposition,an,B1,97